ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Año,Mes,Tiene_Internet,Atencion_Gobierno,Es_Zona_Rural,Categoria_Gemini,Resumen_Gemini
1905,María,57.0,Masculino,Medellín,no hay suficientes escuelas públicas.,Educación,Urgente,2023-08-21,0,0,0,2023,8,No,No,No,Educación,no hay suficientes escuelas públicas
4159,Jorge,48.0,Otro,Barranquilla,necesitamos más acceso a internet en la zona.,Salud,Urgente,2024-08-16,1,0,1,2024,8,Si,No,Si,Seguridad,necesitamos más acceso a internet en la zona
6676,Juan,25.0,Femenino,Bogotá,falta agua potable en varias casas.,Educación,Urgente,2023-02-16,1,0,0,2023,2,Si,No,No,Seguridad,falta agua potable en varias casas
6631,Sofía,24.0,Otro,Manizales,la contaminación del río está aumentando.,Educación,No urgente,2024-11-03,0,1,0,2024,11,No,Si,No,Medio Ambiente,la contaminación del río está aumentando
9547,Jorge,72.0,Femenino,Cúcuta,hay problemas con la recolección de basura.,Salud,Urgente,2023-04-28,0,0,1,2023,4,No,No,Si,Medio Ambiente,hay problemas con la recolección de basura
343,Jorge,65.0,Otro,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-11-03,0,1,1,2023,11,No,Si,Si,Seguridad,necesitamos más acceso a internet en la zona
2275,Valentina,68.0,Otro,Bogotá,faltan médicos en el centro de salud.,Educación,Urgente,2024-02-27,0,1,1,2024,2,No,Si,Si,Salud,faltan médicos en el centro de salud
7721,Juan,24.0,Femenino,Barranquilla,faltan médicos en el centro de salud.,Seguridad,Urgente,2023-09-13,1,1,0,2023,9,Si,Si,No,Salud,faltan médicos en el centro de salud
9221,Ana,31.0,Femenino,Cúcuta,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-02-20,1,1,1,2024,2,Si,Si,Si,Seguridad,necesitamos más acceso a internet en la zona
1999,Ana,72.0,Femenino,Barranquilla,las calles están muy oscuras y peligrosas.,Salud,Urgente,2024-05-03,1,0,0,2024,5,Si,No,No,Seguridad,las calles están muy oscuras y peligrosas
4483,Juan,45.0,Femenino,Pereira,hay problemas con la recolección de basura.,Seguridad,No urgente,2024-07-30,0,1,1,2024,7,No,Si,Si,Medio Ambiente,hay problemas con la recolección de basura
7025,Sofía,66.0,Otro,Cúcuta,hay problemas con la recolección de basura.,Seguridad,Urgente,2023-08-22,1,0,1,2023,8,Si,No,Si,Medio Ambiente,hay problemas con la recolección de basura
3684,Juan,33.0,,Bogotá,la contaminación del río está aumentando.,Salud,No urgente,2024-09-03,1,1,1,2024,9,Si,Si,Si,Medio Ambiente,la contaminación del río está aumentando
6852,Camilo,20.0,Otro,Santa Marta,las basuras no se recogen a tiempo.,Seguridad,No urgente,2024-09-17,0,1,1,2024,9,No,Si,Si,Medio Ambiente,las basuras no se recogen a tiempo
6164,Camilo,18.0,Masculino,Barranquilla,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-04-24,1,0,1,2023,4,Si,No,Si,Educación,no hay suficientes escuelas públicas
2381,Ana,77.0,Femenino,Cartagena,la contaminación del río está aumentando.,Seguridad,No urgente,2023-05-28,0,0,1,2023,5,No,No,Si,Medio Ambiente,la contaminación del río está aumentando
2507,María,44.0,Otro,Cartagena,las calles están muy oscuras y peligrosas.,Salud,No urgente,2023-05-11,0,1,0,2023,5,No,Si,No,Seguridad,las calles están muy oscuras y peligrosas
5249,Jorge,72.0,Otro,Medellín,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-03-23,1,1,0,2024,3,Si,Si,No,Seguridad,no tenemos centros culturales ni bibliotecas
3152,Jorge,47.0,Femenino,Cartagena,falta agua potable en varias casas.,Educación,No urgente,2023-11-18,0,0,1,2023,11,No,No,Si,Seguridad,falta agua potable en varias casas
